label,statement,subject,speaker,speaker's job title,state,party,barely true counts,false counts,half true counts,mostly true counts,pants on fire counts,context,polarity,subjectiveWordsCount,subjectivity
3,264,38,711,785,43,16,1.0,0.0,3.0,3.0,0.0,1542,-0.09333333333333334,3,2
4,1737,6,801,790,2,16,31.0,39.0,31.0,37.0,8.0,1656,0.0,0,1
3,2,7,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1264,0.0,3,1
1,49,73,1015,676,73,4,1.0,2.0,2.0,3.0,0.0,1121,0.1875,5,2
0,2,3,80,530,18,4,70.0,71.0,160.0,163.0,9.0,2887,0.2,3,1
3,122,61,781,889,41,4,0.0,2.0,4.0,4.0,1.0,1659,0.0,5,1
0,719,40,941,405,47,4,0.0,0.0,0.0,0.0,0.0,189,0.265,6,2
1,27,13,1228,690,49,4,3.0,1.0,1.0,0.0,0.0,1629,0.5,1,0
4,1,118,413,567,38,16,63.0,114.0,51.0,37.0,61.0,1975,0.0,1,2
2,181,2,1228,690,49,4,3.0,1.0,1.0,0.0,0.0,2098,0.3333333333333333,2,2
3,1,13,36,764,5,4,1.0,0.0,1.0,1.0,0.0,2347,0.06666666666666668,1,1
4,29,17,80,530,18,4,70.0,71.0,160.0,163.0,9.0,2054,0.0,3,1
5,2,7,470,348,63,16,9.0,6.0,4.0,4.0,4.0,1009,-0.1,0,1
4,2,26,1024,899,73,13,0.0,0.0,0.0,1.0,0.0,1568,-0.1,3,2
4,83,10,8,764,12,4,6.0,5.0,4.0,11.0,1.0,1830,-0.2,1,1
2,296,118,413,567,38,16,63.0,114.0,51.0,37.0,61.0,778,0.0,0,1
0,2,50,593,568,38,4,40.0,29.0,69.0,76.0,7.0,562,0.0,2,1
4,2569,10,593,568,38,4,40.0,29.0,69.0,76.0,7.0,3006,-0.4,3,0
2,18,20,1147,159,14,16,16.0,15.0,20.0,10.0,11.0,1641,0.2,1,1
4,22,3,80,530,18,4,70.0,71.0,160.0,163.0,9.0,483,-0.275,2,2
3,283,135,413,567,38,16,63.0,114.0,51.0,37.0,61.0,634,0.0,3,0
0,5504,13,319,15,1,16,2.0,2.0,1.0,0.0,0.0,1948,-0.5,2,2
2,28,24,1410,446,73,16,26.0,41.0,32.0,40.0,11.0,1646,0.0,0,1
2,22,2,725,423,73,16,2.0,4.0,1.0,0.0,0.0,1971,0.0,3,1
3,2218,22,334,989,12,4,1.0,0.0,1.0,0.0,0.0,942,0.25,2,2
3,122,66,1388,921,12,16,0.0,0.0,1.0,0.0,0.0,605,0.0,1,1
3,1,40,956,503,56,4,2.0,2.0,4.0,1.0,1.0,2420,0.4166666666666667,0,2
1,2,18,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,1966,-0.8,1,0
0,1,77,1199,13,56,4,1.0,2.0,0.0,0.0,0.0,852,-0.4,1,2
4,774,13,1029,402,26,4,3.0,1.0,10.0,4.0,0.0,247,0.0,2,1
4,1,6,41,320,38,4,1.0,0.0,0.0,1.0,0.0,1098,0.13636363636363635,1,2
0,246,2,1098,279,12,16,0.0,3.0,1.0,1.0,0.0,179,0.0,1,1
3,28,7,80,530,18,4,70.0,71.0,160.0,163.0,9.0,228,0.0,0,1
4,1,73,474,37,70,4,0.0,0.0,0.0,1.0,0.0,1545,0.0,6,1
1,1,22,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,68,0.0,2,1
1,498,3,80,530,18,4,70.0,71.0,160.0,163.0,9.0,483,0.175,1,2
0,1,13,413,567,38,16,63.0,114.0,51.0,37.0,61.0,1311,0.0,1,1
4,285,12,1207,768,73,16,19.0,6.0,16.0,14.0,2.0,1656,-0.5,1,0
3,113,18,1092,478,43,16,2.0,0.0,3.0,1.0,0.0,1603,0.0,1,2
4,1,10,678,427,73,16,1.0,0.0,0.0,1.0,0.0,595,-0.5,2,1
4,877,40,410,179,56,16,2.0,0.0,0.0,1.0,0.0,1794,0.0,4,1
4,517,43,1477,359,5,16,0.0,1.0,1.0,1.0,0.0,575,0.0,3,1
0,5517,2,1376,698,17,16,0.0,1.0,0.0,0.0,0.0,863,0.0,0,1
4,83,12,1015,676,73,4,1.0,2.0,2.0,3.0,0.0,991,0.0,0,1
2,13,12,790,324,43,16,9.0,8.0,10.0,18.0,3.0,226,0.8,0,2
4,264,66,1309,791,43,16,3.0,5.0,11.0,11.0,1.0,1496,0.0,0,1
4,390,12,1331,906,63,11,0.0,0.0,0.0,1.0,0.0,1264,0.0,2,1
2,22,33,103,783,60,8,18.0,12.0,22.0,41.0,0.0,1560,0.0,3,1
3,775,2,991,783,12,16,33.0,24.0,32.0,35.0,5.0,658,0.0,1,2
3,5519,5,1211,577,56,13,0.0,0.0,1.0,0.0,0.0,2413,-0.007727272727272727,5,1
0,1,38,242,322,36,16,10.0,17.0,27.0,19.0,8.0,2079,0.0,0,1
3,20,12,565,893,56,16,11.0,3.0,8.0,6.0,5.0,2931,0.4,3,2
4,51,51,593,568,38,4,40.0,29.0,69.0,76.0,7.0,290,0.1375,3,1
1,1,3,860,420,56,4,0.0,0.0,3.0,3.0,0.0,2778,0.0,1,1
1,1,31,923,905,56,4,0.0,0.0,0.0,2.0,0.0,2437,-1.0,2,0
4,1,31,442,785,45,4,0.0,1.0,1.0,1.0,0.0,306,0.0,1,1
3,149,89,868,37,5,4,0.0,0.0,2.0,2.0,0.0,742,0.0,1,1
2,67,2,445,612,70,16,2.0,3.0,2.0,2.0,1.0,583,0.0,0,1
2,568,68,103,783,60,8,18.0,12.0,22.0,41.0,0.0,255,0.0,2,2
0,1,20,952,842,12,16,2.0,1.0,2.0,0.0,0.0,2000,0.0,0,1
1,23,12,593,568,38,4,40.0,29.0,69.0,76.0,7.0,692,0.0909090909090909,1,2
1,3110,15,801,790,2,16,31.0,39.0,31.0,37.0,8.0,1990,0.0,0,1
0,18,24,1492,510,12,13,0.0,1.0,0.0,0.0,0.0,666,0.175,4,2
1,2579,3,389,785,43,4,1.0,3.0,4.0,6.0,0.0,301,0.0,1,1
4,21,3,599,537,38,13,0.0,0.0,0.0,1.0,0.0,1700,0.5,0,2
3,76,15,80,530,18,4,70.0,71.0,160.0,163.0,9.0,2870,0.0,0,1
0,3965,12,24,919,49,16,2.0,2.0,0.0,2.0,1.0,4,0.0,1,1
