speaker,speaker's job title,state,party,true counts,mostly true counts,half true counts,mostly false counts,false counts,pants on fire counts,count
Alan Grayson,Former US Representative,Florida,Democrat,7,11,4,6,5,1,38
Terry Mcauliffe,Former Governor,Virginia,Democrat,7,4,2,13,7,3,37
George Will,Political Commentator,Maryland,Columnist,10,5,3,7,7,1,36
Florida Democratic Party,Party Affiliation,Florida,Democrat,4,7,10,5,4,3,35
Elizabeth Warren,US Senator,Massachusetts ,Democrat,7,11,10,4,2,0,35
Cory Booker,US Senator,New Jersey,Democrat,10,11,4,2,6,0,35
Mary Burke,Governor Candidate,Wisconsin,Democrat,2,8,11,5,5,3,34
Glenn Beck,Radio Show Host,None,None,4,2,7,5,8,6,34
Ben Carson,Former US Secretary of Housing and Urban Development,None,Republican,0,3,3,8,12,4,34
Republican National Committee,Political Action Committee,None,Republican,4,5,12,7,6,2,32
Reince Priebus,Former White House Chief of Staff,"Washington, D.C.",Republican,1,3,9,2,14,1,32
Mark Pocan,US Representative,Wisconsin,Democrat,7,12,4,3,5,1,32
Gwen Moore,US Representative,Wisconsin,Democrat,6,7,7,5,5,1,31
George Allen,Former Governor,Virginia,Republican,8,4,3,2,8,1,31
Rachel Maddow,TV Show Host,None,None,5,6,4,6,7,1,30
Josh Mandel,State Treasurer,Ohio,Republican,5,5,4,4,5,6,30
David Cicilline,US Representative,Rhode Island,Democrat,8,4,5,7,4,1,30
Bill Nelson,Former US Senator,Florida,Democrat,4,11,9,5,1,0,30
Tony Evers,Governor,Wisconsin,Democrat,2,6,5,8,7,1,29
Tommy Thompson,Former Governor,Wisconsin,Republican,3,5,2,6,8,3,29
Tom Barrett,Mayor,Wisconsin,Democrat,3,5,9,2,5,3,29
Kamala Harris,US Vice President,California,Democrat,2,11,4,6,6,0,29
Herman Cain,Businessman,Georgia,Republican,0,3,5,4,11,3,29
Bill White,Former Mayor,Texas,Democrat,6,7,5,2,3,3,29
Dennis Kucinich,Former US Representative,Ohio,Democrat,12,6,5,1,4,0,28
Democratic Party Of Wisconsin,Party Affiliation,Wisconsin,Democrat,2,3,2,7,7,7,28
Club For Growth,Nonprofit Organization,None,None,4,5,5,7,5,0,28
Wendy Davis,Former State Senator,Texas,Democrat,0,12,8,5,1,1,27
Sean Hannity,Political Commentator,Florida,None,5,2,4,5,9,1,27
Sean Duffy,Former US Representative,Wisconsin,Republican,0,2,8,6,3,3,27
Beto O'Rourke,Former US Representative,Texas,Democrat,7,6,7,5,2,0,27
Allen West,Former US Representative,Florida,Republican,0,0,0,0,1,0,27
Ted Strickland,Former Governor,Ohio,Democrat,1,4,7,2,6,1,26
Harry Reid,Former US Senator,Nevada,Democrat,2,7,3,4,5,3,26
Sheldon Whitehouse,US Senator,Rhode Island,Democrat,11,7,2,2,3,0,25
National Rifle Association,Advocacy Group,None,None,1,6,1,4,6,4,25
Michael Bloomberg,Former Mayor,New York,Democrat,7,8,5,1,3,0,25
Ken Cuccinelli,Former State Attorney General,Virginia,Republican,3,2,5,1,10,1,25
David Perdue,Former US Senator,Georgia,Republican,0,8,5,6,2,2,25
Mark Warner,US Senator,Virginia,Democrat,7,3,7,3,2,0,24
Joe Manchin,US Senator,West Virginia,Democrat,6,11,2,2,2,0,24
Chris Abele,Former County Executive,Wisconsin,Democrat,1,4,5,3,5,2,24
Bruce Rauner,Former Governor,Illinois,Republican,3,2,4,4,6,4,24
Tom Cotton,US Senator,Arkansas,Republican,1,5,2,5,7,1,23
Russ Feingold,Former US Senator,Wisconsin,Democrat,3,5,7,2,4,1,23
Republican Governors Association,527 Organization,"Washington, D.C.",Republican,0,5,6,6,1,2,23
Kasim Reed,Former Mayor,Georgia,Democrat,5,8,6,1,0,1,23
Jeff Sessions,Former US Attorney General,Alabama,Republican,1,2,6,10,4,0,23
Charles Schumer,Senate Majority Leader,New York,Democrat,3,5,4,5,4,1,23
Carly Fiorina,Company CEO,California,Republican,3,3,4,5,5,2,23
Bill O'Reilly,TV Show Host,New York,None,2,5,3,4,6,1,23
Youtube Videos,Social media,None,None,0,0,1,0,13,8,22
Roy Cooper,Governor,North Carolina,Democrat,3,8,7,4,0,0,22
Kendrick Meek,Former US Representative,Florida,Democrat,5,4,1,2,6,1,22
Gavin Newsom,Governor,California,Democrat,6,5,6,2,2,1,22
Crossroads Gps,Conservative Advocacy Group,None,Republican,2,1,4,9,1,2,22
Tom Price,Former US Representative,Georgia,Republican,3,5,6,2,3,0,21
Ron Desantis,Governor,Florida,Republican,1,6,5,4,4,1,21
Robin Vos,State Assembly Speaker,Wisconsin,Republican,1,7,4,3,5,1,21
Republican Party Of Wisconsin,Party Affiliation,Wisconsin,Republican,0,4,5,8,4,0,21
Jon Huntsman,Former Governor,Utah,Republican,2,4,5,5,1,1,21
Tim Pawlenty,Former Governor,Minnesota,Republican,2,6,3,2,3,1,20
Roy Blunt,US Senator,Missouri,Republican,5,2,4,3,3,1,20
Martin O'Malley,Former Governor,Maryland,Democrat,0,4,10,3,1,0,20
Lincoln Chafee,Former Governor,Rhode Island,Democrat,3,4,3,3,5,0,20
Glenn Grothman,US Representative,Wisconsin,Republican,6,1,2,4,7,0,20
Ann Coulter,Pundit,New York,Republican,1,1,3,2,3,6,20
Alex Sink,State Chief Financial Officer,Florida,Democrat,10,4,2,1,2,0,20
Paul Broun,Former US Representative,Georgia,Republican,1,2,3,4,8,1,19
Michael Moore,Filmmaker,None,None,2,6,1,4,5,0,19
Lloyd Doggett,US Representative,Texas,Democrat,5,8,4,2,0,0,19
Kirsten Gillibrand,US Senator,New York,Democrat,3,7,4,4,0,1,19
Jim Renacci,Former US Representative,Ohio,Republican,1,3,5,5,3,1,19
Gina Raimondo,US Secretary of Commerce,Rhode Island,Democrat,6,5,2,2,1,1,19
Dick Cheney,Former US Vice President,Wyoming,Republican,3,2,2,5,4,1,19
Claire Mccaskill,Former US Senator,Missouri,Democrat,5,1,3,5,5,0,19
Chris Larson,State Senator,Wisconsin,Democrat,3,2,0,6,7,1,19
Bobby Scott,US Representative,Virginia,Democrat,5,6,1,1,3,0,19
Americans For Prosperity,Conservative Organization,None,None,0,1,2,6,8,2,19
Priorities Usa Action,Political Action Committee,None,Democrat,2,2,4,6,1,1,18
Paul Krugman,Columnist,New York,None,8,4,3,0,3,0,18
Patrick Murphy,US Representative,Florida,Democrat,3,5,4,2,1,0,18
Occupy Democrats,Advocacy Group,None,Organization,0,1,5,0,6,4,18
Karl Rove,Former White House Deputy Chief of Staff,"Washington, D.C.",Republican,0,8,2,2,5,0,18
Julián Castro,Former US Secretary Of Housing & Urban Development,Texas,Democrat,6,6,5,1,1,0,18
George Lemieux,Former US Senator,Florida,Republican,2,4,6,4,1,0,18
Gary Johnson,Former Governor,New Mexico,Libertarian,1,6,5,3,2,0,18
David Axelrod,Former Senior Advisor to the US President,None,Democrat,2,7,6,2,1,0,18
Amy Klobuchar,US Senator,Minnesota,Democrat,5,7,4,1,1,0,18
American Crossroads,527 Organization,None,Republican,1,0,4,5,5,0,18
U.S. Chamber Of Commerce,Advocacy Group,None,None,2,1,3,6,4,1,17
Senate Majority Pac,Political Action Committee,None,Democrat,0,1,6,5,4,0,17
Sam Adams,Former Mayor,Oregon,Democrat,3,2,5,3,2,0,17
Pete Buttigieg,US Secretary of Transportation,Indiana,Democrat,4,3,4,5,1,0,17
Ohio Democratic Party,Party Affiliation,Ohio,Democrat,2,2,2,5,1,2,17
Kay Bailey Hutchison,Former US Ambassador to NATO,Texas,Republican,4,3,4,2,4,0,17
Jerry Brown,Former Governor,California,Democrat,7,6,3,0,0,0,17
Fred Thompson,Former US Senator,Tennessee,Republican,5,3,3,1,4,0,17
Bill Richardson,Former Governor,New Mexico,Democrat,2,8,3,1,2,1,17
Barbara Buono,Former US Senator,New Jersey,Democrat,3,4,4,3,1,1,17
Adam Putnam,Former US Representative,Florida,Republican,3,2,5,3,1,2,17
Richard Durbin,US Senator,Illinois,Democrat,3,4,4,0,4,1,16
Pat Toomey,US Senator,Pennsylvania,Republican,3,1,4,5,2,0,16
Lindsey Graham,US Senator,South Carolina,Republican,2,2,5,2,3,0,16
Laura Ingraham,TV Show Host,None,None,0,0,1,3,7,1,16
Lamar Smith,Former US Representative,Texas,Republican,4,3,2,2,5,0,16
Kevin Mccarthy,Minority Leader of US Representatives,California,Republican,0,1,4,1,8,2,16
Karen Handel,Former US Representative,Georgia,Republican,2,3,5,3,2,1,16
John Kerry,US Special Presidential Envoy for Climate,Massachusetts,Democrat,2,4,2,3,3,0,16
Jb Pritzker,Governor,Illinois,Democrat,1,4,3,6,2,0,16
Eric Greitens,Former Governor,Missouri,Republican,0,3,6,5,1,0,16
Donna Brazile,Political Consultant,"Washington, D.C.",Democrat,1,7,4,0,1,0,16
Dave Brat,Former US Representative,Virginia,Republican,2,2,0,2,7,1,16
Tucker Carlson,TV Show Host,None,None,0,1,1,4,3,6,15
Mike Dewine,Governor,Ohio,Republican,2,1,5,4,1,0,15
Michael Mccaul,US Representative,Texas,Republican,4,5,2,2,0,0,15
Marcy Kaptur,US Representative,Ohio,Democrat,4,4,4,0,2,0,15
John Edwards,Former US Senator,North Carolina,Democrat,4,4,4,0,2,1,15
Joe Scarborough,Former US Representative,Florida,Republican,1,4,3,1,4,0,15
Jeff Merkley,US Senator,Oregon,Democrat,5,6,3,0,1,0,15
Jeanne Shaheen,US Senator,New Hampshire,Democrat,2,4,4,3,0,0,15
Jack Kingston,Former US Representative,Georgia,Republican,1,3,4,3,2,0,15
Connie Mack,Former US Representative,Florida,Republican,3,3,1,3,3,1,15
Congressional Leadership Fund,Political Action Committee,None,Republican,0,2,4,5,4,0,15
Robert Menendez,US Senator,New Jersey,Democrat,4,3,2,1,3,0,14
Rebecca Kleefisch,Former Lieutenant Governor,Wisconsin,Republican,2,1,5,1,3,1,14
Randy Forbes,Former US Representative,Virginia,Republican,5,3,4,1,0,0,14
Patrick Morrisey,Attorney General,West Virginia,Republican,2,4,3,4,1,0,14
Moveon.Org,Advocacy Group,None,Democrat,5,0,3,2,4,0,14
Leticia Van De Putte,Former State Senator,Texas,Democrat,2,1,4,2,2,1,14
Josh Hawley,US Senator,Missouri,Republican,1,4,1,7,1,0,14
Johnny Isakson,Former US Senator,Georgia,Republican,4,2,3,2,3,0,14
John Kitzhaber,Former Governor,Oregon,Democrat,4,4,4,1,1,0,14
Jim Moran,Former US Representative,Virginia,Democrat,3,6,1,2,1,1,14
Greater Wisconsin Committee,Nonprofit Organization,Wisconsin,None,2,1,4,3,3,1,14
Donald Trump Jr.,Son of US President Donald Trump,None,Republican,0,1,0,2,5,6,14
David A. Clarke Jr.,Former Sheriff,Wisconsin,Activist,0,1,2,3,6,2,14
Bill Pascrell,US Representative,New Jersey,Democrat,0,4,4,0,3,0,14
Barry Hinckley,US Senate Candidate,Rhode Island,Republican,2,2,1,0,4,2,14
Yournewswire.Com,Fake News Website,None,None,0,0,0,1,3,9,13
Tom Graves,Former US Representative,Georgia,Republican,5,0,5,1,0,1,13
Tim Ryan,US Representative,Ohio,Democrat,3,8,0,0,0,1,13
Saxby Chambliss,Former US Senator,Georgia,Republican,2,4,3,1,1,1,13
Roger Williams,US Representative,Texas,Republican,3,0,2,3,3,2,13
Rahm Emanuel,Former Mayor,Illinois,Democrat,1,2,3,4,3,0,13
Pat Mccrory,Former Governor,North Carolina,Republican,1,0,3,6,2,1,13
Maggie Hassan,US Senator,New Hampshire,Democrat,2,4,2,2,2,0,13
Louie Gohmert,US Representative,Texas,Republican,0,0,1,2,7,3,13
Leah Vukmir,Former State Senator,Wisconsin,Republican,0,1,2,3,4,3,13
Kelly Ayotte,Former US Senator,New Hampshire,Republican,3,4,1,2,1,0,13
Joseph Kyrillos,Former State Senator,New Jersey,Republican,0,2,2,3,3,1,13
Jim Justice,Governor,West Virginia,Republican,4,5,2,1,0,1,13
Howard Dean,Former Governor,Vermont,Democrat,1,2,1,1,5,0,13
Ed Gillespie,Former Counselor to the US President,"Washington, D.C.",Republican,2,2,2,2,3,1,13
Will Weatherford,Speaker of the State Representatives,Florida,Republican,0,3,4,2,3,0,12
West Virginia Republican Party,Party Affiliation,West Virginia,Republican,5,5,1,0,1,0,12
Vicky Hartzler,US Representative,Missouri,Republican,1,2,3,5,1,0,12
Steve Adler,Mayor,Texas,Democrat,1,4,2,1,2,1,12
Phil Gingrey,Former US Representative,Georgia,Republican,1,1,2,2,5,1,12
New Hampshire Democratic Party,Party Affiliation,New Hampshire,Democrat,0,3,3,4,0,0,12
Jon Kyl,Former US Senator,Arizona,Republican,1,3,4,0,2,0,12
Jim Demint,Former US Senator,South Carolina,Republican,2,0,0,4,4,1,12
Hank Johnson,US Representative,Georgia,Democrat,2,3,4,3,0,0,12
Ed Schultz,TV Show Host,Florida,None,0,1,4,3,1,2,12
Bob Goodlatte,Former US Representative,Virginia,Republican,3,3,4,0,1,0,12
Barbara Boxer,Former US Senator,California,Democrat,0,4,3,2,0,1,12
Andrew Napolitano,Political Commentator,None,Libertarian,1,0,2,4,1,3,12
Afscme,Trade Union,"Washington, D.C.",None,0,4,2,4,2,0,12
Adam Hasner,Former State Representative,Florida,Republican,1,4,4,2,1,0,12
Tom Coburn,Former US Representative,Oklahoma,Republican,0,2,3,2,3,0,11
Todd Staples,Former State Commissioner of Agriculture,Texas,Republican,2,3,4,0,1,1,11
Tiktok Posts,Social Media,None,None,0,1,2,3,3,2,11
Thom Tillis,US Senator,North Carolina,Republican,0,1,5,3,2,0,11
Senate Leadership Fund,Political Action Committee,None,Republican,0,2,2,7,0,0,11
Sean Spicer,Former White House Press Secretary,"Washington, D.C.",Republican,1,2,1,2,2,3,11
Richard Corcoran,Former Speaker of the State Representatives,Florida,Republican,1,1,5,2,2,0,11
Republican Party Of Texas,Party Affiliation,Texas,Republican,1,4,1,3,1,1,11
One Wisconsin Now,Advocacy Group,Wisconsin,Organization,3,1,4,0,2,1,11
Ohio Republican Party,Party Affiliation,Ohio,Republican,1,1,3,2,2,0,11
Michelle Obama,Former US First Lady,Illinois,Democrat,4,4,1,0,2,0,11
Matt Gaetz,US Representative,Florida,Republican,0,2,1,4,3,0,11
Mark Neumann,Former US Representative,Wisconsin,Republican,1,2,1,2,4,1,11
Kellyanne Conway,Former Counselor to the US President,"Washington, D.C.",Republican,0,1,0,5,5,0,11
John Oliver,TV Show Host,New Hampshire,None,4,4,2,0,0,0,11
Jim Webb,Former US Senator,Virginia,Democrat,3,4,2,1,0,0,11
Jim Sensenbrenner,Former US Representative,Wisconsin,Republican,2,0,1,3,4,0,11
Jim Jordan,US Representative,Ohio,Republican,2,3,3,1,0,0,11
Jeff Greene,Businessman,Florida,Democrat,0,1,3,4,1,0,11
Democratic Senatorial Campaign Committee,Political Party Committee,None,Democrat,1,2,4,1,2,0,11
Bobby Jindal,Former Governor,Louisiana,Republican,1,4,4,0,1,0,11
Andrew Gillum,Former Mayor,Florida,Democrat,0,3,5,1,1,1,11
Alberta Darling,State Senator,Wisconsin,Republican,2,1,2,1,3,1,11
Stephen Sweeney,State Senator,New Jersey,Democrat,2,1,3,1,2,0,10
Sid Miller,State Commissioner of Agriculture,Texas,Republican,1,1,3,1,3,1,10
Rick Kriseman,Former State Representative,Florida,Democrat,0,3,1,3,2,0,10
Peter Barca,Former US Representative,Wisconsin,Democrat,0,3,2,0,3,1,10
Pam Bondi,Former State Attorney General,Florida,Republican,2,4,0,2,2,0,10
Nikki Haley,Former Governor,South Carolina,Republican,0,4,1,2,2,1,10
Matthew Dowd,Political Consultant,None,Independent,1,4,3,0,0,0,10
Martha Mcsally,Former US Senator,Arizona,Republican,0,0,1,5,3,1,10
Marsha Blackburn,US Senator,Tennessee,Republican,1,0,3,3,3,0,10
Marcia Fudge,US Secretary of Housing and Urban Development,Ohio,Democrat,2,4,2,0,2,0,10
Kathleen Falk,Former County Executive,Wisconsin,Democrat,2,1,3,1,3,0,10
Jerry Patterson,Former Texas Land Commissioner,Texas,Republican,3,4,1,1,1,0,10
Jennifer Granholm,US Secretary of Energy,Michigan,Democrat,1,2,3,2,0,0,10
Gilberto Hinojosa,Party Affiliation Chairman,Texas,Democrat,0,2,1,0,4,1,10
Donna Howard,State Representative,Texas,Democrat,5,3,1,1,0,0,10
David Jolly,Former US Representative,Florida,Republican,2,1,1,4,0,0,10
Dan Gelber,Mayor,Florida,Democrat,0,3,1,2,2,0,10
Cory Gardner,Former US Senator,Colorado,Republican,0,2,1,4,2,0,10
Corey Stewart,Former Chairman of the Prince William Board of County Supervisors,Virginia,Republican,0,1,0,5,2,1,10
Bill Mccollum,Former State Attorney General,Florida,Republican,3,0,2,2,1,1,10
Bill Maher,TV Show Host,California,Independent,1,5,1,0,3,0,10
Betty Sutton,Former US Representative,Ohio,Democrat,2,2,1,0,2,1,10
Americans United For Change,Advocacy Group,None,None,0,1,4,1,4,0,10
Allan Fung,Former Mayor,Rhode Island,Republican,2,2,0,2,2,1,10
Alexandria Ocasio-Cortez,US Representative,New York,Democrat,0,2,2,0,5,1,10
Winning Our Future,Political Action Committee,None,None,0,1,3,2,2,0,9
Wayne Lapierre,Gun Rights Activist,None,None,0,1,4,3,1,0,9
Tom Tancredo,Former US Representative,Colorado,Republican,0,1,1,2,4,0,9
Stacey Abrams,Former Minority Leader of State Representatives,Georgia,Democrat,1,2,5,0,1,0,9
Scott Brown,Former US Ambassador,Massachusetts,Republican,0,3,1,2,2,1,9
Robert Hurt,Former US Representative,Virginia,Republican,0,0,1,2,4,0,9
Rob Cornilles,Company Founder and CEO,Utah,Republican,2,1,3,1,1,1,9
North Carolina Republican Party,Party Affiliation,North Carolina,Republican,0,1,0,4,3,1,9
Michelle Nunn,Humanitarian Agency President and CEO,Georgia,Democrat,2,2,1,3,0,0,9
Lynn Westmoreland,Former US Representative,Georgia,Republican,3,0,3,1,1,0,9
Loretta Weinberg,State Senator,New Jersey,Democrat,3,1,0,1,2,0,9
Lee Leffingwell,Former Mayor,Texas,Democrat,3,1,4,1,0,0,9
Kenneth Block,Software Company President,Rhode Island,Republican,1,3,2,0,3,0,9
Ken Paxton,State Attorney General,Texas,Republican,1,1,0,2,2,3,9
Kelda Helen Roys,State Senator,Wisconsin,Democrat,0,2,2,2,2,1,9
Kathleen Sebelius,Former United States Secretary of Health and Human Services,Kansas,Democrat,1,4,1,1,0,1,9
Joni Ernst,US Senator,Iowa,Republican,0,3,2,2,2,0,9
Jon Stewart,Comedian,None,None,2,1,1,0,2,1,9
Jon Husted,Lieutenant Governor,Ohio,Republican,1,2,1,0,2,1,9
John Wisniewski,Former State Assembly,New Jersey,Democrat,3,1,0,2,2,0,9
John Carter,US Representative,Texas,Republican,0,2,2,0,3,2,9
Jimmy Carter,Former US President,Georgia,Democrat,2,2,2,3,0,0,9
Ivanka Trump,Former Senior Advisor to the US President,New York,None,1,3,0,2,3,0,9
Gerry Connolly,US Representative,Virginia,Democrat,1,1,4,1,0,0,9
Frank Lautenberg,Former US Senator,New Jersey,Democrat,3,1,2,2,0,0,9
Eric Hovde,US Senate Candidate,Wisconsin,Republican,0,0,3,2,3,0,9
Dianne Feinstein,US Senator,California,Democrat,0,4,1,1,2,0,9
Dale Kooyenga,State Senator,Wisconsin,Republican,0,2,5,1,1,0,9
Chris Murphy,US Senator,Connecticut,Democrat,2,2,0,4,1,0,9
Chris Matthews,Political Commentator,None,None,1,1,2,1,2,0,9
Armond Budish,Former Speaker of the State Representatives,Ohio,Democrat,2,3,2,0,1,0,9
American Bridge 21St Century,Political Action Committee,None,Democrat,1,3,0,2,1,0,9
Alison Lundergan Grimes,Former Secretary of State,Kentucky,Democrat,1,1,3,2,2,0,9
William G. Batchelder,Former Speaker of the State Representatives,Ohio,Republican,2,1,1,0,1,3,8
"Vincent ""Buddy"" Cianci",Former Mayor,Rhode Island,Independent,1,2,1,0,2,1,8
Travis Allen,Former State Assembly,California,Republican,0,2,0,3,2,1,8
The Gateway Pundit,Conservative Website,None,None,1,1,0,0,6,0,8
Steve Southerland,Former US Representative,Florida,Republican,1,1,1,1,2,0,8
Steny Hoyer,US Representative,Maryland,Democrat,0,4,3,0,1,0,8
Shelley Moore Capito,US Senator,West Virginia,Republican,1,2,1,3,1,0,8
Scott Rigell,Former US Representative,Virginia,Republican,1,1,0,2,2,0,8
Scott Fitzgerald,US Representative,Wisconsin,Republican,0,0,2,4,2,0,8
Rush Holt,Former US Representative,New Jersey,Democrat,3,1,2,0,1,0,8
Roy Barnes,Former Governor,Georgia,Democrat,0,3,3,0,0,1,8
Ron Wyden,US Senator,Oregon,Democrat,3,3,0,0,2,0,8
Robert Gibbs,Former White House Press Secretary,"Washington, D.C.",Democrat,4,1,0,1,1,0,8
Restore Our Future,Political Action Committee,None,Republican,1,1,3,1,0,2,8
Pete Gallego,Former US Representative,Texas,Democrat,2,2,2,1,1,0,8
Morgan Griffith,US Representative,Virginia,Republican,1,0,2,3,2,0,8
Mike Rogers,Former US Representative,Michigan,Republican,0,0,1,0,0,0,8
Mick Mulvaney,US Diplomat,South Carolina,Republican,0,0,2,5,1,0,8
Michael Steele,Former Lieutenant Governor,Maryland,Republican,4,0,1,0,1,2,8
Michael Doherty,State Senator,New Jersey,Republican,2,1,1,1,3,0,8
Lou Greenwald,State Assembly,New Jersey,Democrat,2,2,1,0,1,2,8
Lou Dobbs,Political Commentator,None,None,0,2,0,1,2,1,8
Lena Taylor,State Senator,Wisconsin,Democrat,1,1,1,2,1,1,8
Lee Fisher,Former Lieutenant Governor,Ohio,Democrat,0,2,1,2,1,0,8
Keith Olbermann,Sports Commentator,None,None,0,2,3,0,2,0,8
Kathleen Vinehout,Former State Senator,Wisconsin,Democrat,0,3,2,2,1,0,8
Joaquin Castro,US Representative,Texas,Democrat,2,2,3,1,0,0,8
Jefferson Smith,Former State Representative,Oregon,Democrat,2,4,0,1,1,0,8
Jeff Fitzgerald,Former Speaker of State Assembly,Wisconsin,Republican,1,2,1,2,0,2,8
Jason Carter,State Senator,Georgia,Democrat,3,1,2,1,0,0,8
Jamie Radtke,US Senator Candidate,Virginia,Republican,3,2,1,1,1,0,8
House Republican Conference,Party Caucus,None,Republican,0,0,4,0,3,1,8
Gwen Graham,Former US Representative,Florida,Democrat,2,1,3,2,0,0,8
Gail Collins,Journalist,New York,Journalist,1,3,1,2,1,0,8
Eric Bolling,Political Commentator,None,None,0,1,1,3,2,0,8
Ending Spending Action Fund,Political Action Committee,None,Independent,0,2,0,4,0,0,8
Don Beyer,US Representative,Virginia,Democrat,1,3,1,1,2,0,8
Dennis Richardson,Former State Secretary of State,Oregon,Republican,1,2,1,0,4,0,8
Dan Forest,Former Lieutenant Governor,North Carolina,Republican,2,0,0,1,4,1,8
Chuck Todd,Journalist,None,None,5,1,1,0,1,0,8
Chris Taylor,State Judge,Wisconsin,Democrat,3,3,0,2,0,0,8
Chris Redfern,Former State Representative,Ohio,Democrat,2,4,2,0,0,0,8
Chris Jacobs,US Representative,New York,Republican,1,2,0,2,2,0,8
Chris Dodd,Former US Senator,Connecticut,Democrat,2,3,3,0,0,0,8
Chris Collins,Former US Representative,New York,Republican,1,1,0,1,5,0,8
Brian Kemp,Georgia Secretary of State,Georgia,Republican,4,0,1,0,3,0,8
Brendan Doherty,Former Police Superintendent,Rhode Island,Republican,3,1,1,1,2,0,8
Breitbart,Conservative News Website,None,None,0,1,1,0,3,2,8
Bob Buckhorn,Former Mayor,Florida,None,0,1,2,2,1,0,8
Antonio Villaraigosa,Former Mayor,California,Democrat,0,6,1,0,1,0,8
